"ฤฟฑ๊ฝฺตใ","ฤฟฑ๊ฝฺตใฯตอณภเะอ","ฤฟฑ๊ฝฺตใฮปบลร๛","ิดฝฺตใ","ิดฝฺตใภเะอ","ิดฝฺตใฮปบลร๛","ื้","สýพÝม๗ฯ๒","ร่ส๖","นซสฝ"
"FCS0092","VF","2110LI110302","OTS","VxOTS","LI110302.PV","AI","ะด","",""
"FCS0092","VF","2110LI110401","OTS","VxOTS","LI110401.PV","AI","ะด","",""
"FCS0092","VF","2110LI110402","OTS","VxOTS","LI110402.PV","AI","ะด","",""
"FCS0092","VF","2110LI110501","OTS","VxOTS","LI110501.PV","AI","ะด","",""
"FCS0092","VF","2110LI110502","OTS","VxOTS","LI110502.PV","AI","ะด","",""
"FCS0092","VF","2110LI110504A","OTS","VxOTS","LI110504A.PV","AI","ะด","",""
"FCS0092","VF","2110LI110504B","OTS","VxOTS","LI110504B.PV","AI","ะด","",""
"FCS0092","VF","2110LI110504C","OTS","VxOTS","LI110504C.PV","AI","ะด","",""
"FCS0092","VF","2110LI110504D","OTS","VxOTS","LI110504D.PV","AI","ะด","",""
"FCS0092","VF","2110LI110601","OTS","VxOTS","LI110601.PV","AI","ะด","",""
"FCS0092","VF","2110LI110602","OTS","VxOTS","LI110602.PV","AI","ะด","",""
"FCS0092","VF","2110LI110604A","OTS","VxOTS","LI110604A.PV","AI","ะด","",""
"FCS0092","VF","2110LI110604B","OTS","VxOTS","LI110604B.PV","AI","ะด","",""
"FCS0092","VF","2110LI110604C","OTS","VxOTS","LI110604C.PV","AI","ะด","",""
"FCS0092","VF","2110LI110604D","OTS","VxOTS","LI110604D.PV","AI","ะด","",""
"FCS0092","VF","2110LI110701","OTS","VxOTS","LI110701.PV","AI","ะด","",""
"FCS0092","VF","2110LI110702","OTS","VxOTS","LI110702.PV","AI","ะด","",""
"FCS0092","VF","2110LI110704A","OTS","VxOTS","LI110704A.PV","AI","ะด","",""
"FCS0092","VF","2110LI110704B","OTS","VxOTS","LI110704B.PV","AI","ะด","",""
"FCS0092","VF","2110LI110704C","OTS","VxOTS","LI110704C.PV","AI","ะด","",""
"FCS0092","VF","2110LI110704D","OTS","VxOTS","LI110704D.PV","AI","ะด","",""
"FCS0092","VF","2110LI110801","OTS","VxOTS","LI110801.PV","AI","ะด","",""
"FCS0092","VF","2110LI110802","OTS","VxOTS","LI110802.PV","AI","ะด","",""
"FCS0092","VF","2110LI110804A","OTS","VxOTS","LI110804A.PV","AI","ะด","",""
"FCS0092","VF","2110LI110804B","OTS","VxOTS","LI110804B.PV","AI","ะด","",""
"FCS0092","VF","2110LI110804C","OTS","VxOTS","LI110804C.PV","AI","ะด","",""
"FCS0092","VF","2110LI110804D","OTS","VxOTS","LI110804D.PV","AI","ะด","",""
"FCS0092","VF","2110LI110901","OTS","VxOTS","LI110901.PV","AI","ะด","",""
"FCS0092","VF","2110LI110902","OTS","VxOTS","LI110902.PV","AI","ะด","",""
"FCS0092","VF","2110LI110904A","OTS","VxOTS","LI110904A.PV","AI","ะด","",""
"FCS0092","VF","2110LI110904B","OTS","VxOTS","LI110904B.PV","AI","ะด","",""
"FCS0092","VF","2110LI110904C","OTS","VxOTS","LI110904C.PV","AI","ะด","",""
"FCS0092","VF","2110LI110904D","OTS","VxOTS","LI110904D.PV","AI","ะด","",""
"FCS0092","VF","2110LI111201","OTS","VxOTS","LI111201.PV","AI","ะด","",""
"FCS0092","VF","2110LI111302","OTS","VxOTS","LI111302.PV","AI","ะด","",""
"FCS0092","VF","2110LI111501A","OTS","VxOTS","LI111501A.PV","AI","ะด","",""
"FCS0092","VF","2110LI111502B","OTS","VxOTS","LI111502B.PV","AI","ะด","",""
"FCS0092","VF","2110LI160101","OTS","VxOTS","LI160101.PV","AI","ะด","",""
"FCS0092","VF","2110LI160102","OTS","VxOTS","LI160102.PV","AI","ะด","",""
"FCS0092","VF","2110LI160301","OTS","VxOTS","LI160301.PV","AI","ะด","",""
